Priority,Grant Name,Amount,Deadline,Cash or In-Kind,Focus Area,Location Restriction,Key Eligibility,How to Apply,Link,Notes,Assigned To,Status,Date Applied,Follow-Up Notes
URGENT,Ben & Jerry's Foundation — Grassroots Organizing,"Up to $30,000/yr (2 years)",Feb 18 2026,CASH,Social/environmental justice organizing,National (U.S.),"501(c)(3), budget under $350K, led by impacted people",Online application,https://benandjerrysfoundation.org/national-grants/,Unrestricted operating support. Does NOT fund: arts/media/litigation/direct services,,,,
URGENT,Youth Climate Justice Fund,"Up to $40,000",Mar 1 2026,CASH,Youth-led climate & environmental justice,Global,"Must be youth-led (under 35), priority BIPOC/women/queer","Online application (English, Spanish, French, Arabic, Portuguese, Swahili, Hindi)",https://ycjf.org/2026-grant-applications-are-open,Verify if Delta qualifies as youth-led,,,,
URGENT,Bank of America — Basic Needs & Income Creation,Varies,Mar 2 2026,CASH,"Economic mobility, community resiliency, energy-efficient housing","National (U.S., incl. CA)","501(c)(3), apply via CyberGrants portal",CyberGrants portal (opened Feb 2 2026),https://about.bankofamerica.com/en/making-an-impact/charitable-foundation-funding,Decision announced June 2026. Environmental work qualifies if tied to employment/housing/resilience,,,,
URGENT,Climate Smart Communities Initiative (CSCI),"$75,000 - $115,000",Mar 12 2026,CASH,Climate adaptation in vulnerable communities,National (U.S.),"Need 3 partners: (1) registered adaptation practitioner, (2) CBO, (3) local/tribal/regional gov",Online at climatesmartcommunity.org,https://climatesmartcommunity.org/funding/,"Biggest opportunity. 16-20 awards from $1.5-2M pool. Community must be <300K pop. NOT for mitigation, only adaptation",,,,
HIGH,Garden Grove Community Foundation,Varies,Mar 10-31 2026,CASH,"Youth, arts, education, parks, community events, ethnic diversity",Garden Grove CA only,"501(c)(3), must serve Garden Grove",Email foundations@ggcity.org with IRS letter + recent tax return,https://www.ggcf.com/requestsforassistance,Delta is HQ'd in Garden Grove — strong local fit. Annual cycle opens Mar 10,,,,
HIGH,CA Tribal Nature-Based Solutions Climate Bond,"~$9.2M total pool",Apr 15 2026,CASH,"Tribal nature-based solutions, land conservation",California only,CA Native American tribes and tribally-led nonprofits ONLY,CA Grants Portal,https://www.grants.ca.gov/grants/tribal-nature-based-solutions-climate-bond-2026-solicitation/,Delta cannot apply directly — must partner with a CA tribal org as supporting partner,,,,
HIGH,SoCalGas — SoCal Climate Champions Grant,"Up to $50,000",Check for 2026 cycle,CASH,"GHG reduction, air quality, climate solutions","SoCalGas service area (incl. Garden Grove)","501(c)(3) in service area, priority K-16 + grassroots orgs",Online application,https://socalclimatechampionsgrant.com/,"160+ grants awarded since 2015. ~$400K/yr. Excellent fit — check when 2026 cycle opens",,,,
HIGH,Sprouts Healthy Communities Foundation,"$5,000 - $10,000",2026 app open (Jan 1),CASH,Nutrition education + school gardens,Near Sprouts stores,501(c)(3),Online application,https://about.sprouts.com/donation-and-sponsorship-application/,Frame Resilience Nursery as nutrition/garden education,,,,
HIGH,Altura Cares (Altura Credit Union),"From $359K annual pool",Contact directly,CASH,"Community support (Anaheim, Garden Grove, Irvine, Santa Ana)",OC cities incl. Garden Grove,Contact Altura Credit Union,Contact credit union directly,https://grantstation.com/grantmakers/altura-cares,Specifically serves Garden Grove area — reach out to relationship manager,,,,
MEDIUM,Edison International Community Grants,"Varies ($20M total program)",Invitation only — send LOI,CASH,"Environment, education, public safety, civic engagement",SCE 15-county SoCal service area,"501(c)(3), invitation only — use eligibility tool first",Email program description + eligibility tool,https://www.edison.com/community/our-funding-priorities,Team already submitted LOI per meeting. Follow up on response,,,,
MEDIUM,EPA Community Change Grants,Varies (large program),Rolling,CASH,"Climate adaptation, resilience, pollution reduction",National (U.S.),"Partnership: 2 CBOs, or CBO + tribal/gov/university",Grants.gov,https://www.epa.gov/resilient-investments/environmental-and-climate-justice-community-change-grants-program,Large and competitive. Requires partnership documentation,,,,
MEDIUM,U.S. Bank — Community Possible Grant,Varies,"Rolling LOI, annual by invite",CASH,"Workforce, neighborhood stability, arts/culture, environment",U.S. Bank communities,"501(c)(3), new orgs submit Letter of Interest",Letter of Interest online,https://www.usbank.com/about-us-bank/community/community-possible-grant-program.html,Submit LOI to start the relationship,,,,
MEDIUM,California Credit Union Foundation,Varies,Rolling,CASH,"Community + youth, financial literacy, educators",California,"501(c)(3), operating 5+ years in CA",Donation Request Form on website,https://www.ccu.com/foundation/california-credit-union-foundation-grant-request/,Does NOT fund admin costs or political/religious orgs,,,,
MEDIUM,Costco Community Grants,Varies,"Rolling (1x per fiscal year, Sep-Aug)",CASH,"Children, education, health/human services",Near Costco stores,"501(c)(3), cover letter + W-9 + budget needed",Online form at costco.com,https://www.costco.com/charitable-giving.html,Submit cover letter with clear program description,,,,
MEDIUM,Walmart Spark Good Local Grants,"$250 - $5,000",Check for 2026 cycle,CASH,"Community development, DEI, environment",Near Walmart stores,501(c)(3) or gov entity,Through Spark Good portal,https://walmart.org/how-we-give/program-guidelines/spark-good-local-grants-guidelines,Check if 2026 applications are open yet,,,,
MEDIUM,Texas Grassroots Environmental Mini Grants,"Up to $4,000",Rolling (no deadline),CASH,Grassroots environmental organizing,Texas (verify if national),"Budgets under $50K, no formal nonprofit needed",Online application,https://www.txenvironment.org/mini-grants,Easy application. Verify if national orgs can apply,,,,
MEDIUM,Climate Justice Microgrants,Varies,Check website,CASH,Climate justice documentation & best practices,National (U.S.),U.S. climate justice organizations,Check website,https://climateadvocacylab.org/climate-justice-microgrants,Good for documenting Delta's climate justice work,,,,
MEDIUM,NACRJ Mini-Grants,"Up to $500",Apr 3 2026,CASH,Community and restorative justice,National (U.S.),No 2025 grantees,Online application,https://www.nacrj.org/mini-grants/,Small amount but easy application,,,,
MEDIUM,NACRJ Impact Grants,"Up to $3,000",Oct 2 2026,CASH,Community and restorative justice,National (U.S.),No 2025 grantees,Online application,https://www.nacrj.org/mini-grants/,Larger than mini-grant option,,,,
LOW,Orange County Community Foundation (OCCF),Varies by fund,Varies by program,CASH,"Arts, environment, animal welfare, community",Orange County,"Must complete Nonprofit Central profile first, then apply during windows",Apply during specified windows,https://www.oc-cf.org/grants/,Step 1: Register on Nonprofit Central. Contact Joe Cordell (949) 464-4184,,,,
FUNDRAISER,Chipotle Fundraiser,25% of event sales ($150 min sales),Rolling (3 weeks advance),CASH,Nonprofit fundraising events,Near Chipotle locations,"Nonprofits, schools, community groups",Online fundraiser request form,https://community.chipotle.com/,Great for Earth Day Sustainability Showcase (Apr 25). 25% of all sales go to Delta,,,,
