Industry,Company/Organization,Type (Cash/In-Kind),Amount,Location,How to Apply,Key Requirements,Advance Notice,Focus Areas,URL,Notes
INSURANCE/HEALTH,L.A. Care Health Plan,CASH (sponsorship),Ask for their tiers — large funder,Los Angeles County,Online sponsorship form at lacare.org/sponsorships,"501(c)(3), offer 3 sponsorship levels, health component for events",10 weeks,"Access to care, food security, housing, social justice, health equity",https://lacare.org/sponsorships,"TOP PICK. Huge health plan. Frame Delta's work around community health + environmental justice. Earth Day Showcase could include a health fair booth."
BANK/CREDIT UNION,LAFCU (LA Federal Credit Union),CASH (donation/sponsorship),"From ~$100K annual pool",Greater Los Angeles,Online form at lafcu.com/donation,"Groups only (not individuals), 1x per year, must be in LAFCU service area",4 weeks,"Education, food assistance, financial education, arts/music",https://www.lafcu.com/donation,"Simple form. $100K/yr pool. Also connected to LACA charity ($700K+ donated to LA charities). Frame Delta's education programs."
BANK/CREDIT UNION,Beneficial State Bank,CASH (sponsorship),Modest (under $1K typical),Southern California (has LA branches),Sponsorship request form on website,"501(c)(3), submit 60+ days ahead",60 days,"Community development, social justice, environment",https://www.beneficialstatebank.com/about-us/sponsorships,"B-Corp bank focused on social justice + environment — excellent mission alignment with Delta"
GROCERY,Bristol Farms,IN-KIND (food/gift baskets),"Gift baskets, food for events",Southern California (multiple locations),Online form at bristolfarms.com/donation-request-form,"Must be within 5 miles of a Bristol Farms store, 30 days advance (8 weeks recommended)",30-56 days,"Child education, nutrition/hunger, sustainable agriculture, environmental preservation",https://www.bristolfarms.com/donation-request-form,"Good for Earth Day Sustainability Showcase catering/auction items. Newport Beach location near OC."
GROCERY,Gelson's Markets,IN-KIND (food/gift cards) + CASH (Scrip 5%),Gift cards + 5% back on Scrip sales,LA and Orange County (27 stores),Donation request at gelsons.com + Scrip letter on letterhead,"501(c)(3), letter with org name + Tax ID",Varies,"Community support, fundraising",https://www.gelsons.com/community-resources/donation-requests,"TWO programs: (1) Direct donation requests for events. (2) Scrip program = 5% on every gift card sale, no minimum. Contact Cristin McDonald for Scrip."
GROCERY,Sprouts Farmers Market,CASH ($5K-$10K) + IN-KIND,Foundation: $5K-$10K; In-kind: food/product,Near Sprouts stores (many in OC/LA),Online at about.sprouts.com/donation-and-sponsorship-application,"501(c)(3), 1x per calendar year, 2026 app open",Varies,"Nutrition education, school gardens",https://about.sprouts.com/donation-and-sponsorship-application,"Foundation grants are CASH. Frame Resilience Nursery as nutrition education + garden program."
HOTEL,Ritz-Carlton Los Angeles,IN-KIND (auction/raffle items),"Hotel stays, dining experiences",Los Angeles,Online donation request form,"501(c)(3), PDF of nonprofit status",2 weeks,"Hunger/poverty relief, child well-being, environmental responsibility",https://rcla.requestitem.com/,"Quick turnaround (2 weeks). Good for auction items at Sustainability Showcase."
HOTEL,Lora Hotel,IN-KIND (gift certificates),Hotel gift certificates,Los Angeles area,Donation request form on lorahotel.com,"501(c)(3), prefer events hosted at their hotel",4 weeks,"Community livability, equity/inclusion, health/wellness, arts/culture",https://www.lorahotel.com/donation-requests/,"Best if you can host a Delta event there."
SPA,MĒLA Medical Spa,IN-KIND (services/products),Spa services or products for auction,LA area,Sponsorship form at melamedspa.com/sponsorship-and-charity-requests,501(c)(3),Varies,Community wellness partnerships,https://melamedspa.com/sponsorship-and-charity-requests/,"Good raffle/auction item for events."
SPA,Travertine Spa,IN-KIND (gift certificates),Spa gift certificates for auction,LA area,Donation request form on travertinespa.com,501(c)(3),Varies,Local community support,https://www.travertinespa.com/philanthropy/,"Auction item for fundraisers."
TECHNOLOGY,LA Tech Cares,PARTNERSHIP (not cash),Connections + visibility,Los Angeles,Contact via latechcares.org,Education-focused nonprofits serving underserved communities,Varies,"Tech education, digital divide, equity in tech",https://latechcares.org/,"Not a cash sponsor but connects nonprofits with tech business leaders + philanthropists. Good for AI Climate Tools visibility."
PHARMACEUTICAL,Spark Therapeutics,CASH (sponsorship),Varies,National,Online portal at healthcareadvocacyrequests.sparktx.com,"501(c)(3), medical/patient advocacy focus",12 weeks,"Medical/scientific associations, patient advocacy, community health",https://healthcareadvocacyrequests.sparktx.com/,"Frame Delta's community health work (shade = heat illness prevention). Long lead time."
COMMUNITY,Climate Science Alliance — Giving Cycle,CASH (grant),"Varies",SoCal (LA + OC + surrounding counties),Apply at climatesciencealliance.org/giving-program-apply,"Community-led climate solutions, activities completed by Oct 2026",Check 2026 cycle,"Cultural fire mgmt, coastal habitat, climate resilience",https://www.climatesciencealliance.org/giving-program-apply,"BONUS FIND — not from keyword search but directly relevant. Southern California focused climate grant."
