Grant Name,Amount,Deadline,Status,Focus Area,Delta Program Fit,Geographic Restriction,Eligibility Notes,URL
Ben & Jerry's Foundation — Grassroots Organizing,"Up to $30,000/yr (2 years)",Feb 18 2026,URGENT - 2 DAYS LEFT,Grassroots organizing for social/environmental justice,Cross-cutting (antiracist mission),National (U.S.),501(c)(3) budget under $350K,https://benandjerrysfoundation.org/national-grants/
Youth Climate Justice Fund,"Up to $40,000",Mar 1 2026,URGENT,Youth-led climate and environmental justice,Cross-cutting,Global,Must be youth-led (under 35); priority BIPOC/women/queer,https://ycjf.org/2026-grant-applications-are-open
Climate Smart Communities Initiative (CSCI),"$75,000 - $115,000",Mar 12 2026,URGENT,Climate adaptation in vulnerable communities,All programs,National (U.S.),3 partners required: adaptation practitioner + CBO + local gov,https://climatesmartcommunity.org/funding/
CA Tribal Nature-Based Solutions Climate Bond,"~$9.2M total pool",Apr 15 2026,OPEN,Tribal nature-based solutions,CBECN,California only,CA Native American tribes and tribally-led nonprofits ONLY,https://www.grants.ca.gov/grants/tribal-nature-based-solutions-climate-bond-2026-solicitation/
Portland Clean Energy Fund (PCEF) Mini Grants,"Up to $5,000",Apr 2026,OPENS SOON,Climate action + social justice,All programs,Portland OR only,Must serve Portland communities,https://www.portland.gov/bps/cleanenergy/mini-grants
NACRJ Mini-Grants,"Up to $500",Apr 3 2026,OPEN,"Community and restorative justice",Cross-cutting,National (U.S.),Orgs that received 2025 grants ineligible,https://www.nacrj.org/mini-grants/
NACRJ Impact Grants,"Up to $3,000",Oct 2 2026,UPCOMING,"Community and restorative justice",Cross-cutting,National (U.S.),Orgs that received 2025 grants ineligible,https://www.nacrj.org/mini-grants/
EPA Community Change Grants,Varies (large program),Rolling,OPEN,"Climate adaptation resilience pollution reduction",All programs,National (U.S.),Requires partnership: 2 CBOs or CBO + tribal/gov/university,https://www.epa.gov/resilient-investments/environmental-and-climate-justice-community-change-grants-program
Texas Grassroots Environmental Mini Grants,"Up to $4,000",Rolling,OPEN,"Grassroots environmental organizing",All programs,Texas (verify for national),Prioritizes budgets under $50K; no formal nonprofit needed,https://www.txenvironment.org/mini-grants
Climate Justice Microgrants,Varies,Check website,OPEN,Climate justice documentation and best practices,Cross-cutting,National (U.S.),U.S. climate justice organizations,https://climateadvocacylab.org/climate-justice-microgrants
Dedicated Grant Mechanism (DGM),"From $110M pool",Varies,OPEN,Indigenous peoples + natural resource mgmt,CBECN,International,Verify U.S. eligibility — primarily developing countries,https://www.cif.org/cif-funding/dedicated-grant-mechanism
USDA UAIP Grants,"$75,000 - $350,000",TBD (Spring 2026),MONITOR,Community gardens urban agriculture food access,Resilience Nursery,National (U.S.),"Nonprofits local/tribal govs schools farmers",https://www.usda.gov/topics/urban/grants
Arbor Day Foundation — Community Roots,Varies ($1.5B program),Periodic,MONITOR,"Food forests native trees underserved communities",Resilience Nursery + More Shade,National (U.S.),Periodic application windows,https://arborday.org/perspectives/empowering-communities-fostering-urban-forests
NEA Our Town,"$25,000 - $150,000",FY2026 (check site),MONITOR,Creative placemaking — arts/culture/design,More Shade,National (U.S.),Nonprofit + local gov partnership; 1:1 match,https://www.arts.gov/grants/our-town
InterPlay Racial Equity Mini-Grants,Small grants,June 2026,MONITOR,Racial equity through cultural competency,Cross-cutting,National (U.S.),Bi-annual cycle,https://www.interplay.org/features/racial-equity-transformation/RETMiniGrants.htm
NY Climate Resilience Grant,"Up to $50,000",Check website,MONITOR,"Conservation climate adaptation",All programs,New York only,"Land trusts conservation orgs academic institutions tribal nations",https://www.nature.org/en-us/about-us/where-we-work/united-states/new-york/stories-in-new-york/funding-grant-program-climate-resilience/
Chesapeake Bay Trust — Urban Trees,"Up to $10,000",Check website,MONITOR (MD only),Tree planting in urban underserved areas,Resilience Nursery + More Shade,Maryland only,"Nonprofits community associations faith-based orgs",https://cbtrust.org/grants/urban-trees-mini-grant-program/
Kawari Fund,Varies,Check website,MONITOR,Indigenous rights in forest carbon finance,CBECN,International,Check eligibility,https://www.kawari.earth/
Patagonia Environmental Grants,Varies,Invitation-only,MONITOR,Grassroots environmental activism root causes,All programs,Global,Cannot apply directly — invitation only,https://www.patagonia.com/how-we-fund/
